model,assessment_mse,assessment_mse_sd,assessment_mae,assessment_mae_sd
lasso,1.269183874852184,1.1270915049345969,0.6502641296812903,0.010005782076530243
lasso_sq,0.776161229869155,0.04172113628551148,0.6568123672774361,0.0166731784378811
full,2.837766388809276,4.647557641570719,0.6509601090919456,0.016408734832392646
full_sq,0.7548695320903372,0.035737021964358594,0.6438087300892565,0.008639898426009278
