term,lasso_est,lasso_sq_est,full_est,full_sq_est
lambda,0.0021544346900318843,1e-5,NA,NA
(Intercept),7.475424260475647,7.475424260475653,7.4754242604748855,7.475424260475651
timedelta,0.006112708362437796,0.11809992000029158,0.011943760896209278,0.05175283176720161
n_tokens_title,0.012519668596420633,-0.01996754306656771,0.016398366300400178,-0.004114334726890944
n_tokens_content,0.019940382284635832,-0.011202480868888254,0.021223458721902438,-0.008257432156766348
n_unique_tokens,0,0,0.4034439593999997,0.0021620412570654917
n_non_stop_words,0.006711982303340009,0.010055740010004654,0.6504293227595387,0.006311792171195403
n_non_stop_unique_tokens,0,-8.191616067784965e-4,-0.6059840065829076,3.639934611438056e-4
num_hrefs,0.04774038295138032,0.06077969680006197,0.04855705157923117,0.05973899878010863
num_self_hrefs,-0.025200042853809716,-0.02685552200489872,-0.02892220785805002,-0.026075059758056733
num_imgs,0.02053926272907155,0.05671227062387938,0.018425283167403002,0.0548126565801676
num_videos,0.0037183329069356156,0.03393868085945861,0.007116780208507669,0.028689375661476443
average_token_length,-0.04017327040852431,-0.007227339908660652,-0.0665505379680101,-0.018537937769279353
num_keywords,0.032003184479661474,0.19029127321167877,0.02791257699753509,0.07273244483403618
data_channel_is_lifestyle,-0.009863481058008602,-0.01964761267462478,-0.022721729316210512,-0.0197040688609673
data_channel_is_entertainment,-0.058979474511956106,-0.059401696096389636,-0.06301348828863194,-0.06924484022901897
data_channel_is_bus,-0.040922920475699606,-0.053089537786013725,-0.05735321893768318,-0.05922126990739185
data_channel_is_socmed,0.049911416253602826,0.04626674010942561,0.042576012308117764,0.043103030260787795
data_channel_is_tech,0.05894413940187278,0.04839738157445971,0.04564785222897641,0.04021094486401997
data_channel_is_world,-0.006153068497572185,-0.01293079761789222,-0.017957471600716736,-0.026158227888742818
kw_min_min,0.05930155985412078,0.07658053406972219,0.06737425694812431,0.06678911481310687
kw_max_min,9.170936660265188e-5,0.05779822151195174,0.06430874924789001,0.014558947321069556
kw_avg_min,-0.01654092373719961,-0.07132741308670283,-0.07880756545449914,-0.031289899626839285
kw_min_max,-0.023125280869854173,-0.014389202797635751,-0.02226884817336617,-0.021922396188535823
